term,type,category,description,status,source,related_terms,etymology_notes
Gravity-Tech,Core Technology,Foundation,Base technology for gravity manipulation and control,pending,varchiver,Spacedrive;Directed Gravity Device,
Wave Manipulation,Core Technology,Foundation,Control and manipulation of various wave types,pending,varchiver,Resonator;Harmonic Blade,
Spacedrive,Propulsion,Core,Advanced propulsion system using gravity-tech,pending,varchiver,Gravity-Tech,
Directed Gravity Device,Utility,Core,Device for precise gravity manipulation,pending,varchiver,Gravity-Tech;Gravitic Manipulator,
Gravimancy,Magic System,Core,Fusion of gravity-tech and magical principles,pending,varchiver,Magitek Core,
Spinjack,Core Technology,Foundation,Kinetic energy storage and manipulation,Implemented,varchiver,Turnstile;Rail Grindstone,
Turnstile,Propulsion,Core,Angular momentum propulsion system,Implemented,varchiver,Spinjack,
Ionocaloric,Thermal,Core,Temperature manipulation through ion cycling,Implemented,varchiver,Thermal Regulator,
Caboodler,Utility,Core,Modular utility system,Implemented,varchiver,,
Rail Grindstone,Power,Core,Momentum storage and energy generation,Implemented,varchiver,Spinjack,
Cubeport,Structure,Core,Main spaceport structure with themed faces,pending,varchiver,,
Oceth,Location,World,Main continent with ancient ruins and settlements,pending,varchiver,Devast Vale;House Devast,Possibly related to Occeths from naming doc
Drush Syndicate,Faction,World,Technology-focused faction,pending,varchiver,,
Lokex Frame,Faction,World,Advanced engineering faction,pending,varchiver,Lokex Chip,
Feap Wardens,Faction,World,Environmental and thermal tech faction,pending,varchiver,Feap,
The Shrow,Faction,World,Mysterious faction with advanced tech,pending,varchiver,Shrow,
Nethbound,Faction,World,Magic-tech fusion faction,pending,varchiver,Neth,
United Systems,Faction,World,Main governing body,pending,varchiver,,
Devast Core,Power,Core,Volatile gravitational singularity generator for deep-space dreadnoughts,pending,varchiver,Order of the Devast,
Devast Beacon,Weapon,Core,Resonance amplifier that disassembles enemy constructs via wave collapse,pending,varchiver,Order of the Devast,
Devast Node,Utility,Core,Forbidden neural uplink terminal for AI cluster override,pending,varchiver,Order of the Devast,
Devast Shard,Material,Core,Fractured crystal for high-tier magic/tech hybrids,pending,varchiver,Order of the Devast,
Devast Engine,Propulsion,Core,Spinjack-aligned hyperspin engine using controlled entropy,pending,varchiver,Order of the Devast;Spinjack,
Devast Mantle,Defense,Core,Defensive module that folds space around the user,pending,varchiver,Order of the Devast,
Devast Pulse Array,Weapon,Core,Directed energy weapon feeding on momentum and temperature,pending,varchiver,Order of the Devast,
Order of the Devast,Faction,World,Lost techno-religious order focused on spacetime manipulation,pending,varchiver,Devast Core;Devast Beacon;Devast Node,
Devast Ark,Faction,World,Nomadic ship-faction believing in recursive annihilation,pending,varchiver,Order of the Devast,
House Devast,Faction,World,Elite aristocracy from Oceth with forbidden tech mastery,pending,varchiver,Order of the Devast;Oceth,
The Devast Choir,Faction,World,Sonic warfare faction using resonance for control,pending,varchiver,Order of the Devast,
Devast Reach,Location,World,Barren orbital belt with broken satellites and whisper storms,pending,varchiver,Order of the Devast,
Devast Vale,Location,World,Crater region on Oceth with war artifacts and gravity seams,pending,varchiver,Order of the Devast;Oceth,
Devast Citadel,Location,World,Abandoned black cube tower orbiting a dead star,pending,varchiver,Order of the Devast,
Devast Trench,Location,World,Continental scar with magnetic fog and tech-wildlife,pending,varchiver,Order of the Devast,
Neth,Location,World,Dark net dimension or base-world region,pending,varchiver,Nethbound,
Geeth,Currency,World,Organic AI race currency system,pending,varchiver,,
Shrow,Material,World,Mist-based stealth technology or biome,pending,varchiver,The Shrow,
Tast,Consumable,Core,Light combat drug for speed enhancement,pending,varchiver,,
Scaen,Utility,Core,Memory-record scene or illusion zone technology,pending,varchiver,,
Tuemorrow,Concept,World,Next reality layer or daily reset mechanic,pending,varchiver,,
Merse,Currency,World,Liquid-world currency or drowned tech system,pending,varchiver,,
Sterick,Enemy,World,Rare enemy class or title designation,pending,varchiver,,
Synce,Utility,Core,Synchronization mechanic for ghost mirroring and revival,pending,varchiver,,
Evision,Utility,Core,Advanced vision mode for upgrades and hacking,pending,varchiver,,
Critle,Pet,World,Companion system or minor currency class,pending,varchiver,,
Zern,Currency,World,Primary currency or system state indicator,pending,varchiver,,
Feap,Mod,Core,Modification slot type or in-game action verb,pending,varchiver,Feap Wardens,
Stique,Weapon,Core,Advanced weapon type or player fashion system,pending,varchiver,,
Starecrow,Enemy,World,Mid-tier boss or enemy type,pending,varchiver,,
Trip,Movement,Core,Movement ability or short loop event system,pending,varchiver,,
Hant,Utility,Core,Ghost signal or memory echo technology,pending,varchiver,,
Uncollapser,Utility,Core,Glitch-stable dimension or unbreakable structure tech,pending,varchiver,,
Shelse,Location,World,Side-zone or substrate region,pending,varchiver,,
Lokex Chip,Utility,Core,Advanced door/hack/lock mechanism,pending,varchiver,Lokex Frame,
Struct,Architecture,Core,Advanced building or upgrade system,pending,varchiver,,
Grush,Movement,Core,Advanced movement or attack verb system,pending,varchiver,,
Orior,Language,World,Ancient language or noble faction root,pending,varchiver,,
Giss,Information,World,Information broker or intelligence slang system,pending,varchiver,,
Campoors,Location,World,Playable arena region with foggy dystopian atmosphere,pending,varchiver,,
Fashing,Style,World,In-world slang for fashion and tech fusion,pending,varchiver,,
Bleck,Effect,Core,Onomatopoeic effect for impact or transformation,pending,varchiver,,
Honjunitai,Faction,World,Specialized faction or faction offshoot,pending,varchiver,,
Resonator,Utility,Core,Basic harmonic resonator for frequency matching,Implemented,varchiver,Wave Manipulation,
Magitek Core,Core,Core,Advanced core integrating magical and technological energies,Implemented,varchiver,Gravimancy,
Gravitic Field Generator,Field,Core,Powerful device for gravitational field manipulation,Implemented,varchiver,Gravity-Tech,
Thermal Regulator,Thermal,Core,Ancient device for precise thermal energy control,Implemented,varchiver,Ionocaloric,
Harmonic Blade,Weapon,Core,Weapon that resonates with target frequency,Implemented,varchiver,Resonator;Wave Manipulation,
Arcane Plate,Armor,Core,Armor with magical protection and tech enhancements,Implemented,varchiver,Magitek Core,
Gravitic Manipulator,Tool,Core,Basic tool for gravity manipulation,Implemented,varchiver,Directed Gravity Device,
Spinjack Core,Core,Core,Spinal implant for kinetic energy storage and release,Implemented,varchiver,Spinjack,
Turnstile Drive,Propulsion,Core,Advanced propulsion using asymmetrical resonance fields,Implemented,varchiver,Turnstile;Resonator,
Ionocaloric Mesh,Thermal,Core,Advanced thermal control using ion cycling,Implemented,varchiver,Ionocaloric,
Modular Caboodler,Utility,Core,Versatile utility system with interchangeable modules,Implemented,varchiver,Caboodler,
Heat Sink Pack,Consumable,Core,Disposable heat sinks for rapid thermal management in emergency situations,Implemented,varchiver,Thermal Regulator,
Foundational Gravity-Tech Principles,Knowledge,Foundation,Core data module containing fundamental principles for gravity manipulation,Implemented,varchiver,Gravity-Tech,
Foundational Wave Manipulation Theory,Knowledge,Foundation,Comprehensive data archive detailing core theories for wave spectrum manipulation,Implemented,varchiver,Wave Manipulation,
Devasting,Concept,World,Adjective form for exotic phenomena (e.g. Devasting Pressure Zones),pending,varchiver,Order of the Devast,
Phase Gate Anchor,Utility,Core,Portable teleport pad that partially dematerializes objects to reduce mass for transit,pending,varchiver,,
TesserFrame Storage,Utility,Core,Inventory system that partially phases items into non-Euclidean storage,pending,varchiver,,
HalfMatter Lock,Utility,Core,Security door system only operable by users in specific phase state,pending,varchiver,,
Phase Snare,Trap,Core,Immobilization trap that keeps targets in a semi-materialized state,pending,varchiver,,
Flicker Blade,Weapon,Core,Melee weapon that phases during attack to bypass armor,pending,varchiver,,
Ghostshell Rounds,Weapon,Core,Projectiles that rematerialize inside target after phasing through matter,pending,varchiver,,
Phantom Cloak,Utility,Core,Selective dematerialization garment for visual stealth,pending,varchiver,,
Phase Drift Harness,Movement,Core,Short-range traversal through solid objects via phase modulation,pending,varchiver,,
Aether Lung,Augment,Core,Implant that dematerializes toxins or particles from air intake,pending,varchiver,,
Shiftstep Boots,Movement,Core,Footwear that dematerializes impact to enable silent or enhanced jumps,pending,varchiver,,
Void Harpoon,Utility,Core,Grapple device that phases through objects to anchor behind them,pending,varchiver,,
Tunnel Phase Emitter,Utility,Core,Field emitter that creates temporary tunnels through phased terrain,pending,varchiver,,
Phase Sync Node,Utility,Core,Keeps multiple entities in synchronized materialization state,pending,varchiver,,
Adaptive Dematerializer,Utility,Core,AI-assisted control unit for customized phasing thresholds,pending,varchiver,,
Phase Residue Scanner,Tool,Core,Scans recent phase signatures left by creatures or devices,pending,varchiver,,
Inverse Tethering Core,Utility,Core,Tethers phased objects to realspace using harmonic anchors,pending,varchiver,,
NeuroLure,Tool,Fishing,Emits low-frequency bio-signals to attract specific aquatic fauna,pending,varchiver,,
Quantum Linecaster,Tool,Fishing,Uses entangled hooks that appear inside aquatic organisms,pending,varchiver,,
Tideformer Net,Tool,Fishing,Deployable field net that uses energy grids to corral marine life,pending,varchiver,,
Sonar Veil,Tool,Fishing,Projects a sonar-reflective veil that creates a false school of prey,pending,varchiver,,
CryoBait Pod,Tool,Fishing,Freezes micro-prey in a stasis pellet with timed releases,pending,varchiver,,
SmartSnare,Tool,Trapping,Adaptive terrain trap with automatic tension adjustment,pending,varchiver,,
Phase Trap,Tool,Trapping,Dematerializing bait trap that spring-loads on rematerialization,pending,varchiver,,
Graviton Pitfall,Tool,Trapping,Localized gravity field trap for immobilizing large game,pending,varchiver,,
Lure Beacon,Tool,Trapping,Pheromone and auditory blend emitter for land-based fauna,pending,varchiver,,
Mimic Drone,Tool,Trapping,Camouflaged drone mimicking prey or predator behavior,pending,varchiver,,
HydroMesh Array,Tool,Hybrid,Autonomous aquatic trap grid with AI movement prediction,pending,varchiver,,
EcoHarvester Bloom,Tool,Hybrid,Flower-like drones for non-lethal aquatic and aerial harvesting,pending,varchiver,,
Tectonic Lure Spike,Tool,Hybrid,Vibration-based system for coaxing out burrowed creatures,pending,varchiver,,
Facilitenns,System,Core,Modular facility-building blocks or infrastructure units,conceptual,naming,"Facility + Tens",
Facilitens,Interface,Core,Perspective/filter system for operations or data visualization,conceptual,naming,"Facility + Lens",
Brightclear,Concept,World,Clarity-focused system or transparent technology approach,conceptual,naming,,
Occeths,Entity,World,Hidden system tenders or sensory architects,conceptual,naming,Oceth,"occult + -eth suffix"
Occthys,Entity,World,Mythic biointerface beings who organize hidden flows,conceptual,naming,Oceth,"occult + -thys"
Ocethsys,System,World,Framework governing the perceptional layer of systems,conceptual,naming,Oceth,"Oceth + system"
Oxeptus,Entity,World,Refined arcane being that decodes obscure signals,conceptual,naming,,"occult + -eptus"
Oculiths,Structure,World,Vision runestones - crystalline nodes of seeing,conceptual,naming,,"ocular + -liths"
Nexon,System,Core,Connection or network node system,conceptual,naming,Nexn,
Nexn,System,Core,Simplified connection system or network abbreviation,conceptual,naming,Nexon,
Mai,Entity,World,Concentrated essence or being representing "a lot in one place",conceptual,naming,,
Skål,Currency,World,Bowl or cup-based currency system,conceptual,new,,"Danish skål (cup/bowl)"
Jatter-X,Currency,World,Experimental or cross-system currency designation,conceptual,new,,
Nosora,Location,World,Mysterious region or settlement name,conceptual,new,,
Kyron,Currency,World,High-value or rare currency system,conceptual,new,,
Kork,Material,World,Cork-like protective or insulating material,conceptual,new,,
Korthen,Location,World,Fortress or stronghold settlement,conceptual,new,,
Eroseddies,Phenomenon,World,Erosion-based energy currents or resource flows,conceptual,new,,
Butterup,Consumable,Core,Enhancement or boost item,conceptual,new,,
Narsit,Tool,Core,Precision instrument or measurement device,conceptual,new,,
Floormasters,Faction,World,Ground-level control or territorial faction,conceptual,new,,
Nairekereth,Location,World,Ancient or mystical place name,conceptual,new,,
Narsetter,Tool,Core,Configuration or calibration device,conceptual,new,Narsit,
Narsitter,Entity,World,Guardian or watcher associated with precision systems,conceptual,new,Narsit,
Repetor,System,Core,Repetition or duplication system,conceptual,new,Repetar;Repter,
Repetar,System,Core,Advanced repetition system variant,conceptual,new,Repetor;Repter,
Repter,System,Core,Simplified repetition system,conceptual,new,Repetor;Repetar,
Anaignam,Concept,World,Reversed or inverted principle (anagram backwards),conceptual,new,,
XenoD,Faction,World,Alien or foreign faction designation,conceptual,new,Donex,
Donex,System,Core,Exchange or transaction system,conceptual,new,XenoD;Donice,
Donice,System,Core,Pleasant or beneficial exchange system,conceptual,new,Donex,
Donix,System,Core,Technical exchange system,conceptual,new,Donex,
Donicks,System,Core,Multiple exchange system,conceptual,new,Donix,
Donichts,System,Core,Night or shadow exchange system,conceptual,new,Donix,
Ochts,Location,World,Settlement or outpost name,conceptual,new,Oceth,
Ox,Creature,World,Beast of burden or simple creature,conceptual,new,,
Octs,System,Core,Octagonal or eight-based system,conceptual,new,,
Recordation,System,Core,Recording or documentation system,conceptual,new,Recorddator,
Recorddator,Tool,Core,Advanced recording device or archivist system,conceptual,new,Recordation,
